# candidate_names, preds, decision_scores, anomaly_scores, areas, lambda_1
NDWFS_J143203.4+325151 1.0 0.0518029396950595 -0.4481970603049405 1306.0 36.99397837584371
NDWFS_J143103.0+352257 1.0 0.059478867995944984 -0.440521132004055 1270.0 33.51573937769021
NDWFS_J143116.4+323625 1.0 0.0475172820019108 -0.4524827179980892 1262.0 49.27954760774629
NDWFS_J142807.9+350107 1.0 0.0569806525637197 -0.4430193474362803 1538.0 87.78371004610233
NDWFS_J142949.5+351542 1.0 0.0038684170213310054 -0.496131582978669 683.0 25.317743508658985
NDWFS_J143614.6+334613 1.0 0.053424629133664026 -0.446575370866336 1165.0 51.893133116652784
NDWFS_J143315.2+353845 1.0 0.06512006073627308 -0.4348799392637269 1445.0 64.12365027599503
NDWFS_J143256.6+325156 1.0 0.056389271097386784 -0.4436107289026132 1997.0 158.78347698013033
NDWFS_J142743.6+350706 1.0 0.047772101137101286 -0.4522278988628987 1394.0 29.073268844631883
NDWFS_J142814.1+341242 1.0 0.05117548045113701 -0.448824519548863 1443.0 74.53612907076098
NDWFS_J143013.5+325304 1.0 0.0039898615174736585 -0.49601013848252634 2796.0 245.1115915544574
NDWFS_J142433.0+332820 -1.0 -0.008280707352419592 -0.5082807073524196 723.0 39.63658853369768
NDWFS_J142613.9+352828 1.0 0.06399520817085796 -0.43600479182914204 935.0 34.01555498331829
NDWFS_J143244.0+353233 1.0 0.07912247103720482 -0.4208775289627952 1015.0 31.792243569677225
NDWFS_J143552.2+340252 1.0 0.059562099042696603 -0.4404379009573034 1124.0 63.660763075733755
NDWFS_J143153.9+341028 1.0 0.07262057516303488 -0.4273794248369651 745.0 31.42730220647314
NDWFS_J143234.1+335232 1.0 0.06522734786948964 -0.43477265213051036 689.0 30.929178010502508
NDWFS_J142602.7+333400 1.0 0.010572312057329225 -0.4894276879426708 2481.0 122.21951979085397
NDWFS_J142646.5+342737 1.0 0.06296634952061769 -0.4370336504793823 862.0 33.15126238758627
NDWFS_J143515.7+351801 1.0 0.05324272001643743 -0.44675727998356257 2245.0 53.09232687247466
NDWFS_J142753.2+340621 1.0 0.05746472528784058 -0.4425352747121594 1023.0 25.63254426932627
NDWFS_J143348.9+334815 1.0 0.05206788023042136 -0.44793211976957864 656.0 27.891293907021172
NDWFS_J142536.0+323747 -1.0 -0.0007994033940355028 -0.5007994033940355 2804.0 169.46660532061668
NDWFS_J142906.4+341131 1.0 0.0671680549002055 -0.4328319450997945 1033.0 86.75713093776716
NDWFS_J143123.3+334733 1.0 0.06699433949663064 -0.43300566050336936 2256.0 171.2528445652416
NDWFS_J143058.3+334008 1.0 0.07220296711008645 -0.42779703288991355 1198.0 34.00284416812003
NDWFS_J143216.4+342030 1.0 0.049380237299739116 -0.4506197627002609 888.0 31.686544660230947
NDWFS_J142919.8+335219 1.0 0.05680367666903047 -0.44319632333096953 1013.0 45.07471509958172
NDWFS_J143522.1+351023 1.0 0.05104935968641433 -0.44895064031358567 1064.0 48.16576515466676
NDWFS_J143618.0+335825 1.0 0.05914730682553199 -0.440852693174468 1328.0 46.96246998937406
NDWFS_J143742.6+343805 1.0 0.032347447503310534 -0.46765255249668947 2035.0 58.74839724323107
NDWFS_J143545.7+332926 1.0 0.09037956942660991 -0.4096204305733901 1325.0 68.56748308279856
NDWFS_J142543.1+351416 1.0 0.08106429997352876 -0.41893570002647124 1234.0 68.58117503864457
NDWFS_J142527.7+354219 1.0 0.05246621448554761 -0.4475337855144524 1647.0 109.96839655151226
NDWFS_J143110.0+323215 1.0 0.04449642375640345 -0.45550357624359655 1246.0 38.661058532857304
NDWFS_J142804.1+345121 1.0 0.045289485315959555 -0.45471051468404045 1682.0 56.7028799193659
NDWFS_J143620.9+341503 1.0 0.045801975532618056 -0.45419802446738194 862.0 30.24955603920056
NDWFS_J143001.9+331713 1.0 0.07315962778867635 -0.42684037221132365 2950.0 113.60341218557826
NDWFS_J143708.6+334217 1.0 0.004036934427178618 -0.4959630655728214 4046.0 216.8282004705676
NDWFS_J143103.7+332419 1.0 0.054728433163271695 -0.4452715668367283 1701.0 66.30219167745311
NDWFS_J142440.6+344000 1.0 0.0794511278853473 -0.4205488721146527 841.0 32.076614544486894
NDWFS_J142653.9+332247 -1.0 -0.03611489037491278 -0.5361148903749128 3697.0 248.26398337191057
NDWFS_J143722.2+355005 1.0 0.026709099481839138 -0.47329090051816086 2141.0 59.490499309795574
NDWFS_J142957.1+345935 1.0 0.06346537082774822 -0.4365346291722518 1562.0 77.45465653176997
NDWFS_J143014.2+332208 1.0 0.07678651444417728 -0.4232134855558227 999.0 41.69688445937808
NDWFS_J143100.3+354759 1.0 0.06733784736696707 -0.4326621526330329 1520.0 40.75704834240551
NDWFS_J143201.0+352535 1.0 0.06417916288321251 -0.4358208371167875 1180.0 36.66215345856894
NDWFS_J142800.3+351537 -1.0 -0.00930304178152852 -0.5093030417815285 818.0 28.51182615268412
NDWFS_J143754.0+342308 1.0 0.07543369002292855 -0.42456630997707145 1065.0 33.28219287850749
NDWFS_J142453.6+351507 1.0 0.051079906254957175 -0.4489200937450428 2396.0 49.28177933160224
NDWFS_J142708.7+332653 1.0 0.05558499813865336 -0.44441500186134664 1439.0 57.45429373228501
NDWFS_J143807.4+343605 1.0 0.06030035966742253 -0.43969964033257747 1760.0 43.51968992487246
NDWFS_J143154.9+333816 -1.0 -0.06814377491433643 -0.5681437749143364 3610.0 85.41011987740836
NDWFS_J142716.9+331539 1.0 0.057701854712516376 -0.4422981452874836 631.0 25.657832984497222
NDWFS_J143341.6+335538 1.0 0.05150811091287055 -0.44849188908712945 1002.0 49.965945407865576
NDWFS_J143209.6+323718 1.0 0.0642342644059451 -0.4357657355940549 1614.0 39.437161172265185
NDWFS_J142449.9+324714 1.0 0.07192784961749221 -0.4280721503825078 699.0 31.608630738685488
NDWFS_J143159.7+350042 1.0 0.054993277763144 -0.445006722236856 1870.0 113.312928190666
NDWFS_J143317.3+334450 1.0 0.0708192283506815 -0.4291807716493185 2065.0 40.45523298146384
NDWFS_J143054.6+325329 1.0 0.03606096152764798 -0.463939038472352 914.0 32.64166776555885
NDWFS_J143305.7+353757 1.0 0.07020579143156402 -0.429794208568436 749.0 25.22244446011824
NDWFS_J142536.8+341541 1.0 0.04447922201018739 -0.4555207779898126 1622.0 132.91674765030146
NDWFS_J142827.5+352837 1.0 0.06617301094796851 -0.4338269890520315 1008.0 26.15348512703446
NDWFS_J143208.0+354748 1.0 0.029310729290434157 -0.47068927070956584 1143.0 33.70323211072458
NDWFS_J143150.7+354930 1.0 0.08322680362363039 -0.4167731963763696 854.0 30.4604740111255
NDWFS_J143039.3+333530 1.0 0.0739475056832955 -0.4260524943167045 1294.0 55.39510032527147
NDWFS_J142904.2+334544 1.0 0.05843138774026396 -0.44156861225973604 1944.0 97.995439260144
NDWFS_J143024.6+351420 1.0 0.05877356706849218 -0.4412264329315078 509.0 26.64057951108023
NDWFS_J142627.4+350722 1.0 0.050547306971821304 -0.4494526930281787 873.0 30.468548330883635
NDWFS_J143254.9+322910 1.0 0.06361140696713824 -0.43638859303286176 1918.0 39.93752203052776
