classifier,nsig,accuracy,f1,precision,recall,roc_auc
rf,0.88,0.898328173374613,0.8983684076621496,0.8994787760407444,0.8977564979480166,0.9571914379979077
rf,0.89,0.8942208462332302,0.8941589058807831,0.8948083336098727,0.8942407660738715,0.9571414661623884
rf,0.9,0.888376332989336,0.8876635942931411,0.8917221617954066,0.8848290013679891,0.9561409833427215
rf,0.91,0.8945945005221023,0.8945249051862223,0.8973410848040603,0.8928571428571429,0.9592460042840665
rf,0.92,0.8921092934215105,0.8916868127855858,0.8956160717550821,0.8891736694677871,0.9587786290986984
rf,0.93,0.895046989209885,0.8945512168269127,0.898394802102095,0.8915406162464986,0.9577157686604053
rf,0.94,0.8920884093282282,0.8921583332782059,0.8921652156018286,0.892703081232493,0.9578483275663204
rf,0.95,0.895986773407588,0.8963019708027886,0.8939636947694222,0.8995098039215685,0.9598481627945296
rf,0.96,0.8924121127741037,0.8925196156809483,0.8930929688947844,0.8924649859943978,0.9585042016806723
rf,0.97,0.8959693699965193,0.8956665851971962,0.9008993060868594,0.8912745098039215,0.9573857307628935
rf,0.98,0.8948068221371388,0.8942577781558011,0.9039144599022799,0.886470588235294,0.9564178612621518
rf,0.99,0.8953950574312565,0.8956289785078333,0.8947331454616261,0.897170868347339,0.9556164112703905
rf,1.0,0.893850380388842,0.8939217950034642,0.893820582756196,0.8945098039215684,0.9568822529011605
rf,1.01,0.8979747816286279,0.8978773352464564,0.9009586641472446,0.8956582633053222,0.9579124149659866
rf,1.02,0.9003663003663004,0.9002614425826099,0.9014212185039797,0.8992156862745097,0.9553668967587035
rf,1.03,0.8976190476190476,0.89709163131748,0.9027225252669601,0.8928571428571429,0.9572137188208616
rf,1.04,0.8967743085258055,0.8968753514103549,0.8944967563975172,0.8997274813539873,0.9555933769089965
rf,1.05,0.8959509552323922,0.8961091331781764,0.8946608672200295,0.8983648881239243,0.9571898990519904
rf,1.06,0.8914688694899358,0.8918483501950398,0.8875551170816027,0.8968301778542743,0.9563233139096834
rf,1.07,0.8931678811052594,0.8930377242561397,0.8928333121608809,0.8943057946069995,0.9547556836640883
rf,1.08,0.8900079359353581,0.8899002286873664,0.8901290860690612,0.8905479059093517,0.9527253592683989
rf,1.09,0.8948127840704133,0.8955297627802816,0.8917787658080638,0.9002008032128515,0.9538371212906703
rf,1.1,0.8965262246591156,0.8962927453284179,0.8964918560093056,0.896514629948365,0.9539347579647334
rf,1.11,0.891153705732019,0.8909861041800337,0.8910772244564589,0.8912430208639437,0.9541239303378664
rf,1.12,0.8887732749178534,0.8892228089255314,0.8903109731511185,0.8899500440787541,0.9531196782427978
rf,1.13,0.8934684191310696,0.8937080424720871,0.8946373200546238,0.8934469585659712,0.9524197288714067
rf,1.14,0.8915151515151514,0.8914523078303505,0.8899252646164368,0.8944460769908904,0.9515501028504261
rf,1.15,0.8888211382113822,0.8892374670273414,0.8841972434741928,0.8955186600058772,0.9507118897959476
rf,1.16,0.8885365853658538,0.8885181158411936,0.8892947496417895,0.8891713194240376,0.9522944245751596
rf,1.17,0.8906965434685021,0.8913087775207875,0.8886810396400266,0.8950015055706112,0.951618029391676
rf,1.18,0.8904907975460121,0.8898651792827579,0.8902821952834371,0.8911171333935561,0.9553036478874274
rf,1.19,0.8932515337423312,0.8931765011444517,0.8941125828410026,0.893285155073773,0.9519722975007529
rf,1.2,0.888525335151102,0.8887592106929804,0.8873354330773221,0.8915688045769347,0.949784945037379
rf,1.21,0.891358024691358,0.8915659598945671,0.889913544411329,0.8938271604938273,0.9535208047553725
rf,1.22,0.8875124607008665,0.8885166957730009,0.8828436701729245,0.8949074074074075,0.9492919333942996
rf,1.23,0.8884901464611609,0.8888414766867019,0.887786545855502,0.8910185185185184,0.9525362940100595
rf,1.24,0.8877195000383405,0.8879322317456421,0.8864343826715538,0.8908333333333335,0.9528789437585734
