# x, y, labels, names, probas
5.115899 11.2866 LAB NDWFS_J142535.2+324932 0.9641335606575012
4.7598042 12.599007 LAB NDWFS_J142522.3+325422 0.9756920337677002
2.8371055 9.247836 LAB NDWFS_J142516.6+324335 0.9262312650680542
9.101154 1.1283848 LAB NDWFS_J142710.3+324841 0.9149502515792847
2.8878398 8.406669 LAB NDWFS_J142548.3+322957 0.9777952432632446
6.490434 7.105059 LAB NDWFS_J142449.7+324744 0.7971150875091553
4.7346196 10.2003975 LAB NDWFS_J142708.1+324450 0.9767069816589355
4.9025216 9.483729 LAB NDWFS_J142703.5+324507 0.9800108671188354
3.9788582 16.162056 LAB NDWFS_J142717.4+324524 0.9244980812072754
-5.188407 -2.094243 LAB NDWFS_J142653.7+324808 0.6248897314071655
5.7275033 8.614936 LAB NDWFS_J142716.3+325136 0.9589853286743164
13.081738 9.039104 LAB NDWFS_J142555.9+324547 0.7989675998687744
1.8715742 15.916273 LAB NDWFS_J142600.8+324629 0.9814645648002625
7.769458 11.633782 LAB NDWFS_J142607.1+324646 0.9429211020469666
4.3736873 4.955795 LAB NDWFS_J142541.8+324840 0.9652001857757568
8.55437 0.72220004 LAB NDWFS_J142451.0+324910 0.9205609560012817
13.727285 5.4071054 LAB NDWFS_J142445.8+324949 0.9523088932037354
6.8436756 9.991992 LAB NDWFS_J142454.1+325239 0.9631600975990295
8.890994 -3.1042233 LAB NDWFS_J142644.9+323206 0.9033480286598206
5.026632 7.18152 LAB NDWFS_J142718.1+323854 0.9857866764068604
12.043147 0.011019615 LAB NDWFS_J142532.9+323116 0.9112548828125
1.6948472 18.528334 LAB NDWFS_J142511.1+324123 0.9185343980789185
9.704128 7.537031 LAB NDWFS_J142713.0+322717 0.9843457341194153
5.3487716 6.4340076 LAB NDWFS_J142706.5+322744 0.9779356718063354
11.154097 3.9387186 LAB NDWFS_J142602.3+322716 0.9033496975898743
6.0213733 6.2730865 LAB NDWFS_J142518.3+322235 0.9583117961883545
8.633017 11.318101 LAB NDWFS_J142507.1+322835 0.9869465827941895
-3.0089612 10.269196 LAB NDWFS_J142441.8+332531 0.9615927338600159
-2.2174318 4.916647 LAB NDWFS_J142708.6+331932 0.9720660448074341
-1.2511065 11.70402 LAB NDWFS_J142706.2+332049 0.9754466414451599
11.969148 -5.5192275 LAB NDWFS_J142611.4+332302 0.8560607433319092
10.662002 -2.2902224 LAB NDWFS_J142558.7+332548 0.9160614013671875
7.508968 0.80971164 LAB NDWFS_J142500.5+331811 0.8722680807113647
3.1779413 4.931391 LAB NDWFS_J142442.6+331914 0.9710664749145508
-1.4846711 11.043873 LAB NDWFS_J142507.1+332230 0.970073401927948
0.6067673 -0.55988777 LAB NDWFS_J142441.2+332747 0.8288666605949402
-0.73610294 3.6471417 LAB NDWFS_J142633.2+331357 0.9629307985305786
-2.6967735 2.2819622 LAB NDWFS_J142720.0+331510 0.8014593124389648
-1.5959358 2.078109 LAB NDWFS_J142659.3+331750 0.9371774792671204
3.068363 5.159433 LAB NDWFS_J142544.3+331350 0.9730129241943359
-1.011436 6.163775 LAB NDWFS_J142532.0+331644 0.9655447006225586
-3.938981 6.725973 LAB NDWFS_J142532.2+331500 0.9563413262367249
